2d-10c,#N/A
2d-20c-no0,"[SDBW, i_index, Banfeld_Raferty]"
2d-3c-no123,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
2d-4c-no4,"[SDBW, silhouette, Banfeld_Raferty]"
2d-4c-no9,"[s_dbw, Scott_Symons, Banfeld_Raferty]"
2d-4c,"[calinski_harabasz, Ratkowsky_Lance, Banfeld_Raferty]"
2dnormals,"[s_dbw, PBM_index, Banfeld_Raferty]"
2sp2glob,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
3-spiral,"[SDBW, point_biserial, Banfeld_Raferty]"
3MC,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
aggregation,"[i_index, modified_hubert_t, Banfeld_Raferty]"
aml28,"[calinski_harabasz, PBM_index, Banfeld_Raferty]"
atom,"[Ray_Turi, Dunns_index, Banfeld_Raferty]"
balance-scale,"[SDBW, i_index, Banfeld_Raferty]"
banana,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
blobs,#N/A
cassini,"[i_index, Davies_Bouldin, Banfeld_Raferty]"
chainlink,"[silhouette, i_index, Banfeld_Raferty]"
circle,"[SDBW, s_dbw, Banfeld_Raferty]"
complex8,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
complex9,"[point_biserial, Dunns_index, Banfeld_Raferty]"
compound,"[c_index, Dunns_index, Banfeld_Raferty]"
cuboids,"[mc_clain_rao, Dunns_index, Banfeld_Raferty]"
cure-t0-2000n-2D,"[Ratkowsky_Lance, Banfeld_Raferty, Davies_Bouldin]"
cure-t1-2000n-2D,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
cure-t2-4k,"[point_biserial, i_index, Banfeld_Raferty]"
curves1,"[s_dbw, Banfeld_Raferty, Davies_Bouldin]"
curves2,"[c_index, Ratkowsky_Lance, Banfeld_Raferty]"
d31,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
dartboard1,"[point_biserial, c_index, Banfeld_Raferty]"
dartboard2,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
dense-disk-3000,"[i_index, modified_hubert_t, Banfeld_Raferty]"
dense-disk-5000,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
diamond9,"[i_index, modified_hubert_t, Banfeld_Raferty]"
disk-1000n,"[point_biserial, c_index, Banfeld_Raferty]"
disk-3000n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
disk-4000n,"[point_biserial, mc_clain_rao, Banfeld_Raferty]"
disk-4500n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
disk-4600n,"[silhouette, s_dbw, Banfeld_Raferty]"
disk-5000n,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
donut1,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
donut2,"[Ratkowsky_Lance, Dunns_index, Banfeld_Raferty]"
donut3,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
donutcurves,"[silhouette, Ray_Turi, Banfeld_Raferty]"
dpb,"[i_index, modified_hubert_t, Banfeld_Raferty]"
dpc,"[silhouette, point_biserial, Banfeld_Raferty]"
DS-577,"[SDBW, i_index, Banfeld_Raferty]"
DS-850,"[SDBW, i_index, Banfeld_Raferty]"
ds2c2sc13,"[calinski_harabasz, point_biserial, Banfeld_Raferty]"
ds3c3sc6,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
ds4c2sc8,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
ds577,"[i_index, mc_clain_rao, Banfeld_Raferty]"
ds850,"[i_index, Dunns_index, Banfeld_Raferty]"
ecoli,"[SDBW, i_index, Banfeld_Raferty]"
elliptical_10_2,"[modified_hubert_t, Scott_Symons, Banfeld_Raferty]"
elly-2d10c13s,"[PBM_index, mc_clain_rao, Banfeld_Raferty]"
engytime,"[i_index, c_index, Banfeld_Raferty]"
flame,"[SDBW, i_index, Banfeld_Raferty]"
fourty,"[SDBW, modified_hubert_t, Banfeld_Raferty]"
gaussians1,"[s_dbw, modified_hubert_t, Banfeld_Raferty]"
