dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
2d-10c	0.348928622	55040.5623	0.751947175	2752.738803	0.460324215	0.000776268	0.002633265	0.060176648	130	k-means++	300	10	auto
2d-10c	0.369292785	53916.16908	0.750364271	3057.036141	0.511210057	0.000704116	0.000908419	0.054179506	120	k-means++	300	10	auto
2d-10c	0.338343422	53206.20873	0.759504954	3393.466787	0.567469362	0.000777151	0.002583456	0.052647614	110	k-means++	300	10	auto
2d-10c	0.359489522	53131.77327	0.760330747	3754.215563	0.627795245	0.00055583	0.001135795	0.046590989	100	k-means++	300	10	auto
2d-10c	0.494929056	52588.86757	0.758599123	17488.28345	2.924462116	0.001414382	0.001029162	0.013274613	23	k-means++	300	10	auto
2d-10c	0.570307195	52520.23389	0.718375388	18350.54434	3.068652899	0.001149539	0.000361644	0.012121699	22	k-means++	300	10	auto
2d-10c	0.523041185	52341.80941	0.729719876	22761.01449	3.806189714	0.001594483	0.002084048	0.012075007	18	k-means++	300	10	auto
2d-10c	0.608716643	52152.77005	0.674278006	29878.3415	4.996378177	0.002112283	0.002113797	0.010037975	14	k-means++	300	10	auto
2d-10c	0.549861807	52108.08684	0.718581939	21588.16817	3.610061568	0.000996713	0.00181668	0.012221903	19	k-means++	300	10	auto
2d-10c	0.562267239	52065.75555	0.70793479	20465.41343	3.422309938	0.00104885	0.00165776	0.012544997	20	k-means++	300	10	auto
2d-10c	0.56386889	51930.70983	0.723311362	19488.25452	3.258905439	0.001223561	0.001145725	0.01248992	21	k-means++	300	10	auto
2d-10c	0.547422168	51716.73779	0.706853743	17008.71622	2.844266926	0.001396979	0.000876858	0.013726922	24	k-means++	300	10	auto
2d-10c	0.538483647	51664.55503	0.715933481	24500.79899	4.097123577	0.001339555	0.002277485	0.011755803	17	k-means++	300	10	auto
2d-10c	0.348676352	51663.61491	0.769490014	4871.719037	0.814668735	0.000577019	0.000178246	0.03765337	80	k-means++	300	10	auto
2d-10c	0.587199612	51636.23938	0.682115889	26153.02834	4.37341611	0.002143161	0.002253074	0.011254983	16	k-means++	300	10	auto
2d-10c	0.479227175	51579.70706	0.775947206	16336.6325	2.731878344	0.001103299	0.000622706	0.013791551	25	k-means++	300	10	auto
2d-10c	0.354345479	51561.55592	0.769659072	4881.159321	0.816247378	0.000581171	0.001928098	0.040306102	80	k-means++	300	10	auto
2d-10c	0.452672734	51410.43228	0.782861475	15122.70388	2.528880247	0.001337034	0.001442583	0.015545417	27	k-means++	300	10	auto
2d-10c	0.615768397	51297.43754	0.682975656	32904.63902	5.502447997	0.001599691	0.001517174	0.008854866	13	k-means++	300	10	auto
2d-10c	0.553594204	51243.00462	0.712535374	28238.63326	4.722179474	0.001236882	0.002114799	0.010536717	15	k-means++	300	10	auto
