
FPS-5 {'n_clusters': 2, 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'algorithm': 'auto'}
FPS-5 {'n_clusters': 2, 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'algorithm': 'full'}
FPS-5 {'n_clusters': 2, 'init': 'k-means++', 'max_iter': 1000, 'n_init': 2, 'algorithm': 'auto'}
FPS-5 {'n_clusters': 2, 'init': 'random', 'max_iter': 100, 'n_init': 2, 'algorithm': 'full'}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 100, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 100, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 100, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 100, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 100, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 100, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 300, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 300, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 300, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 300, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 300, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 300, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 300, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 300, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 300, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 1000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'k-means++', 'max_iter': 5000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 100, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 100, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 100, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 100, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 100, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 100, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 100, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 100, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 100, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 300, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 300, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 300, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 300, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 300, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 300, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 300, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 300, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 300, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 1000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 1000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 1000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 1000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 1000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 1000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 1000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 1000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 1000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 5000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 5000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'random', 'max_iter': 5000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 5000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 5000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'full', 'init': 'random', 'max_iter': 5000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 5000, 'n_init': 2, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 5000, 'n_init': 10, 'n_clusters': 2}
s1 {'algorithm': 'elkan', 'init': 'random', 'max_iter': 5000, 'n_init': 50, 'n_clusters': 2}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'n_clusters': 3}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 100, 'n_init': 10, 'n_clusters': 3}
s1 {'algorithm': 'auto', 'init': 'k-means++', 'max_iter': 100, 'n_init': 50, 'n_clusters': 3}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 100, 'n_init': 2, 'n_clusters': 3}
s1 {'algorithm': 'full', 'init': 'k-means++', 'max_iter': 100, 'n_init': 10, 'n_clusters': 3}
