dataset	n_clusters	init	max_iter	n_init	algorithm	nmi
2d-10c	2	k-means++	300	10	auto	0.4964745199023351
2d-20c-no0	2	k-means++	300	10	auto	0.36612507085300505
2d-3c-no123	2	k-means++	300	10	auto	0.742470838116431
2d-4c-no4	2	k-means++	300	10	auto	0.7576934505923766
2d-4c-no9	2	k-means++	300	10	auto	0.6539741676233566
2d-4c	2	k-means++	300	10	auto	0.7183947066293769
2dnormals	2	k-means++	300	10	auto	0.5997956925965826
2sp2glob	2	k-means++	300	10	auto	0.6449638007431249
3-spiral	2	k-means++	300	10	auto	0.0007560729776223017
3MC	2	k-means++	300	10	auto	0.44922286863634064
aggregation	2	k-means++	300	10	auto	0.4940348972589915
aml28	2	k-means++	300	10	auto	0.7435360670010827
atom	2	k-means++	300	10	auto	0.29303591348443236
balance-scale	2	k-means++	300	10	auto	0.1312582095696172
banana	2	k-means++	300	10	auto	0.33991613386730474
blobs	2	k-means++	300	10	auto	0.58014076123848
cassini	2	k-means++	300	10	auto	0.6369775027827321
chainlink	2	k-means++	300	10	auto	0.06864017084884316
circle	2	k-means++	300	10	auto	1.2756598255317205e-06
complex8	2	k-means++	300	10	auto	0.20534335816065818
complex9	2	k-means++	300	10	auto	0.3891354605622293
compound	2	k-means++	300	10	auto	0.5877049818119607
cuboids	2	k-means++	300	10	auto	0.6070639499298494
cure-t0-2000n-2D	2	k-means++	300	10	auto	0.4858899147212086
cure-t1-2000n-2D	2	k-means++	300	10	auto	0.4812451754767139
cure-t2-4k	2	k-means++	300	10	auto	0.4423035015897659
curves1	2	k-means++	300	10	auto	1.0
curves2	2	k-means++	300	10	auto	1.154159110484424e-05
d31	2	k-means++	300	10	auto	0.31338532391995155
dartboard1	2	k-means++	300	10	auto	8.542470676839779e-16
dartboard2	2	k-means++	300	10	auto	0.17925554549122327
dense-disk-3000	2	k-means++	300	10	auto	0.0001665084966630749
dense-disk-5000	2	k-means++	300	10	auto	0.00022054382893526626
diamond9	2	k-means++	300	10	auto	0.3577019144264015
disk-1000n	2	k-means++	300	10	auto	1.462070961299296e-07
disk-3000n	2	k-means++	300	10	auto	6.649808575835353e-05
